"","ID","CPA2008","Perioden","Prijsindex_1","Kwartaalmutaties_2","Jaarmutaties_3","jaar","kwartaal","titel"
"1",99,"A023722",2006-01-01,94,NA,NA,"2006","Q1","H Vervoer en opslag"
"2",100,"A023722",2006-04-01,93.7,-0.4,NA,"2006","Q2","H Vervoer en opslag"
"3",101,"A023722",2006-07-01,94,0.4,NA,"2006","Q3","H Vervoer en opslag"
"4",102,"A023722",2006-10-01,94,0,NA,"2006","Q4","H Vervoer en opslag"
"5",104,"A023722",2007-01-01,93.8,-0.3,-0.2,"2007","Q1","H Vervoer en opslag"
"6",105,"A023722",2007-04-01,94,0.2,0.3,"2007","Q2","H Vervoer en opslag"
"7",106,"A023722",2007-07-01,94.8,0.9,0.8,"2007","Q3","H Vervoer en opslag"
"8",107,"A023722",2007-10-01,95.2,0.4,1.2,"2007","Q4","H Vervoer en opslag"
"9",109,"A023722",2008-01-01,96.8,1.6,3.2,"2008","Q1","H Vervoer en opslag"
"10",110,"A023722",2008-04-01,97.1,0.3,3.3,"2008","Q2","H Vervoer en opslag"
"11",111,"A023722",2008-07-01,98.9,1.9,4.3,"2008","Q3","H Vervoer en opslag"
"12",112,"A023722",2008-10-01,98.7,-0.2,3.7,"2008","Q4","H Vervoer en opslag"
"13",114,"A023722",2009-01-01,95.2,-3.6,-1.7,"2009","Q1","H Vervoer en opslag"
"14",115,"A023722",2009-04-01,92.4,-2.9,-4.9,"2009","Q2","H Vervoer en opslag"
"15",116,"A023722",2009-07-01,92.3,-0.1,-6.7,"2009","Q3","H Vervoer en opslag"
"16",117,"A023722",2009-10-01,93.8,1.7,-4.9,"2009","Q4","H Vervoer en opslag"
"17",119,"A023722",2010-01-01,93.7,-0.2,-1.5,"2010","Q1","H Vervoer en opslag"
"18",120,"A023722",2010-04-01,95.6,2.1,3.5,"2010","Q2","H Vervoer en opslag"
"19",121,"A023722",2010-07-01,95.8,0.1,3.8,"2010","Q3","H Vervoer en opslag"
"20",122,"A023722",2010-10-01,94.9,-0.9,1.2,"2010","Q4","H Vervoer en opslag"
"21",124,"A023722",2011-01-01,96.2,1.4,2.7,"2011","Q1","H Vervoer en opslag"
"22",125,"A023722",2011-04-01,97,0.8,1.4,"2011","Q2","H Vervoer en opslag"
"23",126,"A023722",2011-07-01,97.2,0.3,1.5,"2011","Q3","H Vervoer en opslag"
"24",127,"A023722",2011-10-01,96.7,-0.6,1.9,"2011","Q4","H Vervoer en opslag"
"25",129,"A023722",2012-01-01,97.2,0.6,1.1,"2012","Q1","H Vervoer en opslag"
"26",130,"A023722",2012-04-01,99.1,1.9,2.2,"2012","Q2","H Vervoer en opslag"
"27",131,"A023722",2012-07-01,99.4,0.4,2.3,"2012","Q3","H Vervoer en opslag"
"28",132,"A023722",2012-10-01,98.8,-0.7,2.2,"2012","Q4","H Vervoer en opslag"
"29",134,"A023722",2013-01-01,99.2,0.4,2,"2013","Q1","H Vervoer en opslag"
"30",135,"A023722",2013-04-01,99,-0.2,-0.1,"2013","Q2","H Vervoer en opslag"
"31",136,"A023722",2013-07-01,99.5,0.5,0,"2013","Q3","H Vervoer en opslag"
